stockname,Mean_return,Standard_deviation,VAR_90,VAR_95,VAR_99,Beta
AARTIDRUGS.NS,0.001746483,0.025498233,-0.022244247,-0.03165523,-0.058204026,0.72169708
AARTIIND.NS,0.001554828,0.020626431,-0.021785364,-0.028995452,-0.047582856,0.498090835
ABB.NS,0.000430452,0.018906658,-0.019240009,-0.025654583,-0.042871547,0.612227782
ABBOTINDIA.NS,0.001038778,0.016755039,-0.016066115,-0.021364453,-0.035566269,0.091011078
ABCAPITAL.NS,-0.000772704,0.026473527,-0.028569828,-0.037484102,-0.069234092,1.188813098
ABFRL.NS,0.000314364,0.024697798,-0.025457594,-0.035425316,-0.05519521,0.657117831
ACC.NS,0.000455604,0.018190943,-0.019462395,-0.028287896,-0.044367162,1.029425612
ADANIPORTS.NS,0.001186308,0.022765888,-0.021689476,-0.029804532,-0.059914448,1.174895412
ADANIPOWER.NS,0.001245809,0.034834724,-0.032469227,-0.049150591,-0.087938051,0.668000636
ADANITRANS.NS,0.002888984,0.031160476,-0.028769772,-0.040635028,-0.068089428,1.267289746
ADVENZYMES.NS,0.000806463,0.029162938,-0.027019966,-0.035638971,-0.063700834,0.333202482
AEGISCHEM.NS,0.00144767,0.027433719,-0.027306395,-0.038561624,-0.057872693,0.368818502
AIAENG.NS,0.000955806,0.020176236,-0.022237839,-0.029062886,-0.045292086,0.451910577
AJANTPHARM.NS,0.00047906,0.020555587,-0.021843727,-0.031107113,-0.054666016,0.207927726
AKZOINDIA.NS,0.000628487,0.016551781,-0.016238658,-0.02219084,-0.043759609,0.542410232
ALKEM.NS,0.000814755,0.017149404,-0.018202966,-0.0237774,-0.035802072,0.109544067
ALKYLAMINE.NS,0.002678486,0.028008896,-0.025438063,-0.034336431,-0.060503027,1.00697819
ALLCARGO.NS,0.000171438,0.023594813,-0.024115308,-0.032814376,-0.059891982,0.301371532
AMARAJABAT.NS,0.000295888,0.019641352,-0.020523697,-0.028930854,-0.049218724,0.750066697
AMBUJACEM.NS,0.000464971,0.019001379,-0.02148564,-0.028348184,-0.050178704,1.09407152
APLAPOLLO.NS,0.001958879,0.02391886,-0.022111211,-0.030410967,-0.055717653,0.780050271
APLLTD.NS,0.0005962,0.020999487,-0.019565686,-0.027479527,-0.046633441,0.424252312
APOLLOHOSP.NS,0.000756114,0.021283336,-0.022366247,-0.027615163,-0.053553519,0.51330487
ASIANPAINT.NS,0.000977337,0.016237994,-0.01573815,-0.022027498,-0.037575901,0.67323503
ASTERDM.NS,0.000150448,0.026047436,-0.02534842,-0.033432435,-0.074587357,0.441448219
ASTRAZEN.NS,0.001274171,0.024323387,-0.022430185,-0.029699557,-0.060013969,0.327136635
ATUL.NS,0.001406299,0.018717247,-0.017252688,-0.025578792,-0.046230794,0.316804555
AUBANK.NS,0.001032522,0.026462131,-0.024928596,-0.042073324,-0.083647178,1.387683261
AUROPHARMA.NS,0.000667389,0.026051693,-0.024120804,-0.033580172,-0.056593912,0.891789542
AVANTIFEED.NS,0.001602913,0.031363793,-0.029061016,-0.040180752,-0.073651595,0.689166356
AXISBANK.NS,0.00084301,0.024225753,-0.022299997,-0.030571718,-0.057664577,1.42803285
BAJAJ-AUTO.NS,0.00062654,0.016708661,-0.015894331,-0.02299962,-0.041253208,0.5599592
BAJAJCON.NS,-9.33E-05,0.021876111,-0.020803192,-0.030117065,-0.053882608,0.868593801
BAJAJELEC.NS,0.001834601,0.026837934,-0.02628265,-0.035485071,-0.061385122,0.968011664
BAJAJFINSV.NS,0.001723697,0.023354907,-0.022430965,-0.031137574,-0.055087066,1.326063526
BAJAJHLDNG.NS,0.000993356,0.020526098,-0.018400897,-0.02639152,-0.054891367,0.461421958
BAJFINANCE.NS,0.002126384,0.026175848,-0.023631714,-0.036636446,-0.072953624,1.489747031
BALRAMCHIN.NS,0.001067537,0.030162421,-0.032889768,-0.047043638,-0.069132187,0.72631094
BANDHANBNK.NS,0.00023178,0.03906489,-0.035288234,-0.049568884,-0.104803548,1.645258148
BANKBARODA.NS,0.000134024,0.029460337,-0.032086494,-0.041652011,-0.068130022,1.436970395
BASF.NS,0.000939325,0.024258442,-0.023815356,-0.031732489,-0.046948062,0.846349786
BATAINDIA.NS,0.00114843,0.018592922,-0.018073502,-0.025391467,-0.042027266,0.695658164
BBTC.NS,0.001461025,0.028667945,-0.024336366,-0.036339748,-0.05984076,0.88284499
BEL.NS,0.000560115,0.024442982,-0.025892135,-0.03414565,-0.059228706,0.933055499
BHARATFORG.NS,0.000709402,0.023964054,-0.022130236,-0.031756441,-0.060460942,0.99797342
BHARATRAS.NS,0.002420933,0.031560825,-0.026188885,-0.036592106,-0.064585636,0.649052539
BHARTIARTL.NS,0.000844836,0.021906339,-0.023111144,-0.032520806,-0.052290361,0.923820157
BIOCON.NS,0.001645209,0.022560383,-0.022308451,-0.032212177,-0.05469424,1.21318157
BIRLACORPN.NS,0.001005033,0.024831256,-0.02451761,-0.031731528,-0.058853798,0.891722409
BLUEDART.NS,-5.85E-05,0.020216107,-0.02060341,-0.028107379,-0.045831513,0.268806397
BOSCHLTD.NS,0.000223024,0.020129723,-0.020645847,-0.028191584,-0.053416338,1.024689468
BPCL.NS,0.000654323,0.024457212,-0.024326134,-0.032372842,-0.069508192,0.99251837
BRITANNIA.NS,0.000927625,0.016639806,-0.016211182,-0.022670196,-0.036827589,0.253559012
BSE.NS,-0.00041144,0.017907073,-0.018008119,-0.026490403,-0.044372688,0.681641917
BSOFT.NS,0.001439265,0.029117953,-0.028061143,-0.040176906,-0.074891054,0.780296803
CADILAHC.NS,0.000549248,0.021629603,-0.02300787,-0.031753031,-0.049682662,0.793564005
CAPLIPOINT.NS,0.001199608,0.031876731,-0.027685388,-0.040703317,-0.074242749,0.548141783
CASTROLIND.NS,-0.00011116,0.019469811,-0.021026199,-0.028868852,-0.044677672,0.382661215
CCL.NS,0.000566988,0.020029961,-0.020227789,-0.028780399,-0.053241383,0.616431424
CDSL.NS,0.001055432,0.024052888,-0.022029298,-0.03101002,-0.049800211,0.769468483
CEATLTD.NS,0.000724861,0.022412436,-0.021579275,-0.029162766,-0.056729611,0.556332907
CENTRALBK.NS,-0.000622437,0.028298285,-0.027588606,-0.03767487,-0.063766038,0.609796762
CESC.NS,0.00059951,0.020442414,-0.020526367,-0.027259771,-0.049153101,0.783610978
CHAMBLFERT.NS,0.001515324,0.025014074,-0.025645281,-0.035016976,-0.053685493,0.401586379
CHOLAFIN.NS,0.001416189,0.028687906,-0.025630204,-0.036332297,-0.072002134,1.316931332
CIPLA.NS,0.000521953,0.017794986,-0.018722288,-0.023681442,-0.044556307,0.477135183
COALINDIA.NS,-0.000452332,0.018515817,-0.021310319,-0.028494574,-0.048083875,1.07122479
COCHINSHIP.NS,-0.000264866,0.021029121,-0.018841666,-0.026141811,-0.054013303,0.574672578
COFORGE.NS,0.001729771,0.02692439,-0.024375128,-0.034264958,-0.064428741,1.263316748
COLPAL.NS,0.000632158,0.014262336,-0.014699043,-0.019557122,-0.0347282,0.348582372
CONCOR.NS,0.000514241,0.021031691,-0.021594019,-0.029521321,-0.050290864,0.849883493
COROMANDEL.NS,0.001506395,0.020957474,-0.022305908,-0.030673591,-0.049131145,0.066707938
CRISIL.NS,0.000199588,0.01740954,-0.016443467,-0.024708818,-0.045979595,0.17595922
CROMPTON.NS,0.001163358,0.020982308,-0.022772011,-0.030857144,-0.048272918,0.067787139
CSBBANK.NS,-0.000557503,0.031364944,-0.033394997,-0.047365528,-0.081654073,0.606919505
CUMMINSIND.NS,8.25E-05,0.020348039,-0.022975983,-0.030020045,-0.05556367,0.746366447
CYIENT.NS,0.00068444,0.023325606,-0.022482535,-0.031866997,-0.063931963,0.505664486
DABUR.NS,0.000750705,0.01558053,-0.015838078,-0.022008445,-0.036256229,0.3814637
DCAL.NS,0.000409674,0.032068158,-0.032838955,-0.047408601,-0.068017119,1.237633304
DCBBANK.NS,0.000697393,0.025074713,-0.02338603,-0.035387485,-0.072681937,1.421290035
DCMSHRIRAM.NS,0.001619551,0.0311422,-0.030675862,-0.043291064,-0.077051765,0.684310998
DEEPAKNTR.NS,0.00270315,0.02694462,-0.024830899,-0.035284264,-0.058861699,0.704038067
DHANUKA.NS,0.00058301,0.023000971,-0.02344058,-0.033063264,-0.051768782,0.305420629
DIVISLAB.NS,0.001324869,0.022518589,-0.019476703,-0.025930945,-0.049190106,0.854809409
DMART.NS,0.001850481,0.022192951,-0.023438882,-0.033479527,-0.050854589,0.499244186
DRREDDY.NS,0.000592184,0.018388944,-0.018565764,-0.025385074,-0.047577737,0.446626055
EDELWEISS.NS,0.00088833,0.034636485,-0.040161012,-0.049848634,-0.094678144,1.176316979
EICHERMOT.NS,0.000657103,0.021544522,-0.02215536,-0.032390798,-0.060801745,0.938908923
EIDPARRY.NS,0.000964717,0.025945553,-0.024707707,-0.033751627,-0.052716488,0.591277031
EMAMILTD.NS,0.000225418,0.022021711,-0.021097572,-0.030927449,-0.056104377,0.243694022
ENDURANCE.NS,0.001036117,0.022858089,-0.022474591,-0.031831021,-0.052347677,0.143721365
ENGINERSIN.NS,0.000289596,0.022904151,-0.023917209,-0.034083367,-0.058163958,0.761623862
ERIS.NS,0.000208389,0.021980141,-0.02224954,-0.030512947,-0.051225665,0.255243631
EXIDEIND.NS,0.000610838,0.019088706,-0.02087345,-0.027840283,-0.046103737,0.699125908
FACT.NS,0.001874383,0.03779927,-0.034138141,-0.047182342,-0.08441905,1.186680771
FCONSUMER.NS,-0.000234315,0.032124687,-0.039913238,-0.04726124,-0.059182482,0.455720947
FDC.NS,0.000591879,0.021986226,-0.022411215,-0.030509796,-0.053516036,0.622825851
FEDERALBNK.NS,0.000856957,0.025720219,-0.026108791,-0.034153343,-0.0694842,1.733667941
FINEORG.NS,0.001986378,0.025882341,-0.023806644,-0.033248593,-0.050682407,0.642340503
FLUOROCHEM.NS,-6.02E-05,0.032061093,-0.033298397,-0.047707084,-0.09425036,0.661886376
FORTIS.NS,0.000348677,0.0237038,-0.022938126,-0.032926092,-0.066294686,0.40119216
GAEL.NS,0.002096711,0.031962837,-0.031995655,-0.044039133,-0.073735761,0.768923027
GALAXYSURF.NS,0.000618446,0.02137916,-0.020132092,-0.028231874,-0.045881264,0.747634785
GICRE.NS,-0.001099088,0.025665042,-0.02574267,-0.036758726,-0.06745495,0.803134833
GLAXO.NS,3.63E-05,0.014928294,-0.013725755,-0.018979688,-0.037414229,0.401584812
GLENMARK.NS,-4.14E-06,0.02408877,-0.023635794,-0.032993542,-0.059663642,0.921420364
GNFC.NS,0.001421507,0.029573804,-0.030652858,-0.040610577,-0.072462512,0.490918193
GODFRYPHLP.NS,0.00036469,0.028196019,-0.026196314,-0.037525962,-0.065391761,0.528529657
GODREJAGRO.NS,-1.52E-05,0.019971652,-0.019806352,-0.029012135,-0.051428392,0.47052142
GODREJCP.NS,0.000685658,0.01900712,-0.020860961,-0.027613956,-0.047696241,0.488988461
GODREJIND.NS,0.000471327,0.018464683,-0.020645706,-0.028051705,-0.046103279,0.34903706
GOLDBEES.NS,0.080162483,2.82298091,-0.008484218,-0.01171052,-0.025588434,-0.041129412
GRANULES.NS,0.001285126,0.027325054,-0.029243718,-0.03763711,-0.064497144,0.590234266
GRAPHITE.NS,0.002035503,0.034305884,-0.034881881,-0.049867784,-0.080659908,1.16870807
GRASIM.NS,0.000906607,0.021279082,-0.020679814,-0.030221665,-0.051033398,0.961611114
GSFC.NS,0.000544678,0.025502237,-0.027997511,-0.03613417,-0.06606038,0.781174965
GSKCONS.NS,0.000603434,0.014394509,-0.012254363,-0.018843536,-0.040553844,0
GUJALKALI.NS,0.000920227,0.026422721,-0.02516689,-0.034221979,-0.059372243,0.520306881
HAPPSTMNDS.NS,-0.000337334,0.02459629,-0.031840984,-0.039123942,-0.053827002,0.440856414
HATSUN.NS,0.001225941,0.021483599,-0.018990575,-0.027458839,-0.049241646,1.167863873
HAVELLS.NS,0.001364909,0.020126676,-0.020420103,-0.028728559,-0.054109011,0.703071566
HCLTECH.NS,0.000856922,0.017590104,-0.018597269,-0.02535494,-0.047221042,0.865308296
HDFC.NS,0.000947022,0.018993794,-0.018241438,-0.025917921,-0.050311103,1.268029844
HDFCAMC.NS,0.001132445,0.023049297,-0.024584877,-0.032889626,-0.060837919,0.837450234
HDFCBANK.NS,0.00108414,0.015100223,-0.013145375,-0.018991653,-0.035681108,1.232109429
HDFCLIFE.NS,0.001112529,0.022224697,-0.020875827,-0.027811342,-0.057012399,0.54859749
HEROMOTOCO.NS,0.000459168,0.019304938,-0.019062982,-0.027381641,-0.053117889,0.674279841
HIKAL.NS,0.000884321,0.026921712,-0.024096872,-0.032118407,-0.056684449,0.686632482
HINDALCO.NS,0.001550101,0.026371086,-0.026789081,-0.035973941,-0.0702186,1.463318772
HINDPETRO.NS,0.00069708,0.026731787,-0.027490877,-0.038697759,-0.061107208,0.913365602
HINDUNILVR.NS,0.000941418,0.014729407,-0.014400572,-0.01980744,-0.030591471,0.245044378
HINDZINC.NS,0.000730823,0.02157232,-0.0220711,-0.032673081,-0.053708989,0.676659601
HONAUT.NS,0.001545488,0.020199721,-0.01660335,-0.022724551,-0.037778429,0.503484386
HSCL.NS,0.001524616,0.033087586,-0.032737575,-0.046234601,-0.08425354,1.008597755
ICICIBANK.NS,0.001285336,0.023303912,-0.022269966,-0.031649298,-0.057842287,1.673138559
ICICIGI.NS,0.001182049,0.022320023,-0.02140396,-0.033843409,-0.057781563,0.663885457
ICICIPRULI.NS,0.000720136,0.023741699,-0.021992143,-0.02952044,-0.054048212,0.572760612
IDBI.NS,1.20E-05,0.030960948,-0.031657235,-0.047830829,-0.076804359,0.907650247
IDFC.NS,0.000447271,0.027293368,-0.02710047,-0.039178889,-0.064894122,0.659384417
IDFCFIRSTB.NS,0.00029901,0.025470718,-0.027032658,-0.037165508,-0.063069614,1.157885555
IEX.NS,0.000781995,0.021144843,-0.020031949,-0.030005893,-0.057789795,0.423864063
IGL.NS,0.00153428,0.01996757,-0.020734819,-0.029346758,-0.049031929,0.794737242
INDIACEM.NS,0.001134867,0.029451405,-0.031375832,-0.041650172,-0.066893913,0.728496638
INDIAMART.NS,0.005600512,0.036011605,-0.029609231,-0.044533343,-0.066695573,0.570065292
INDIGO.NS,0.001007202,0.024870896,-0.024906491,-0.036392422,-0.067292999,1.512353791
INDOCO.NS,0.000538902,0.030458709,-0.029753326,-0.039300968,-0.069146423,0.666888296
INDUSINDBK.NS,0.000642602,0.030148133,-0.023067047,-0.035288972,-0.08071742,2.075570928
